id,course_id,start,end,course_type,category
6561,course-v1:CPVS+CPVS-HDLSC001+20160901,2016-11-16 08:00:00,2016-12-31 23:30:00,0,
5557,course-v1:SCUT+144282+201709,2016-09-01 00:00:00,2017-02-28 00:00:00,0,
9433,course-v1:ZK+06093+J,2018-01-01 08:00:00,2020-01-01 00:00:00,0,
8320,course-v1:nuist+001+2016-T1,2017-03-01 18:30:00,2017-07-01 23:30:00,0,
231,FUDAN/CFD004/2014.9-2015.1,2014-09-10 08:00:00,2015-09-10 00:00:00,0,
7645,course-v1:ANUx+EBM05x+3T2017,2017-09-18 08:00:00,2018-09-17 08:00:00,0,
9953,course-v1:ChongqingUniversity+CQUMOOCMSE21202-002+2016_T2,2017-02-19 10:30:00,2017-05-15 00:00:00,0,
7625,course-v1:JLUx+0000045603+SP,2016-09-26 08:00:00,,1,
8657,course-v1:TsinghuaX+00680082_1X_p1+sp,2016-12-01 08:00:00,,1,philosophy
8833,course-v1:global_TsinghuaX+70120073X+sp,2016-09-12 10:00:00,2017-01-16 10:00:00,0,
3814,course-v1:CIE+CXST001+2015_T2,2015-12-30 00:00:00,2016-12-30 00:30:00,0,
9343,course-v1:JaverianaX+GEN1.0x+1T2017,2017-04-17 08:00:00,2017-06-04 08:00:00,0,
8006,course-v1:TsinghuaX+TsinghuaMandarin01+2016_2017,2016-06-01 08:00:00,2016-08-07 08:00:00,0,
2159,course-v1:BIT+PHY1701702+2015_T2_,2015-03-17 08:00:00,2016-05-31 00:00:00,0,
10988,course-v1:SDJTU+lyh+2017_T2,2017-04-01 08:00:00,2030-08-31 23:30:00,0,
9645,course-v1:TsinghuaX+30240184.1x+1T2017,2017-02-21 08:00:00,2017-07-21 08:00:00,0,
11935,course-v1:WageningenX+GFFCx+2T2017,2017-06-13 08:00:00,2018-02-01 08:00:00,0,
577,TsinghuaX/70150023X/2015_T1,2015-03-02 08:00:00,2015-07-05 00:00:00,0,engineering
11105,course-v1:HKUx+HKU06.1x+3T2017,2017-09-12 08:00:00,2017-10-24 08:00:00,0,
9248,course-v1:TsinghuaX+00612642X_p6+sp,2017-01-13 09:30:00,,1,history
10488,course-v1:TsinghuaX+lzu_00460032X_1+2017_T1,2017-04-10 00:00:00,2017-05-21 23:30:00,0,
5745,course-v1:365dx+145+2016_T1,2016-03-01 08:00:00,2016-07-01 00:00:00,0,
11899,course-v1:Microsoft+DEV273x+2T2017,2017-06-01 08:00:00,2017-09-30 08:00:00,0,
2296,course-v1:TsinghuaX+00720091X+sp,2015-03-24 09:00:00,,1,
5873,course-v1:XJTUMOOC+C00204+2016_T1,2016-03-25 08:00:00,2016-07-31 23:30:00,0,
680,PEC/20220214X_7/2015_T1,2016-03-01 08:00:00,2016-07-10 08:00:00,0,
10171,course-v1:DelftX+PV2x+3T2017,2017-09-05 08:00:00,2017-11-11 08:00:00,0,
1623,course-v1:TsinghuaX+00720091_2014X+2014_T2,2015-06-18 09:00:00,2016-06-18 23:30:00,0,
8957,course-v1:dongguan+gaozhong10+20161223,2016-12-24 08:00:00,2017-04-24 00:00:00,0,
5763,course-v1:365dx+158+2016_T1,2016-03-01 08:00:00,2016-07-01 00:00:00,0,
1682,course-v1:TsinghuaX+10610183X+2015_T1,2015-10-18 08:00:00,2016-06-18 00:00:00,0,
10450,course-v1:TsinghuaX+cau10610224X_08+2017_T1,2017-03-14 00:00:00,2017-07-31 00:00:00,0,
7171,course-v1:NUDT+520804502+sp,2017-06-01 08:00:00,,1,engineering
830s0,course-v1:TsinghuaX+20220214X+2016_2017,2016-02-22 08:00:00,2016-06-23 00:00:00,0,
10164,course-v1:USMx+CC605x+2T2017,2017-05-31 08:00:00,2017-07-26 08:00:00,0,
8974,course-v1:dongguan+gaozhong27+20161223,2016-12-25 08:00:00,2017-04-25 00:00:00,0,
9304,course-v1:ynu_TsinghuaX+01030132X+2017_T1,2017-01-09 00:00:00,2017-04-09 00:00:00,0,
10627,course-v1:JLU+260310+161721,2017-04-03 23:30:00,2017-09-02 23:30:00,0,
5735,course-v1:NJU+010101+2016_T1,2016-03-28 08:00:00,2017-02-15 23:30:00,0,social science
8375,course-v1:TsinghuaX+30806872X+2016_2017,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
10459,course-v1:xuetangX+ynni_20161215X+2017_T1,2017-02-20 08:00:00,2017-12-31 23:30:00,0,
11612,course-v1:DYU+dyuglbbx+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,economics
8507,course-v1:UQx+Able101x+3T2016,2016-12-02 08:00:00,2017-12-01 08:00:00,0,
8202,course-v1:hnit_TsinghuaX+34000888X+2016_T2,2016-10-26 00:00:00,2017-01-11 00:00:00,0,
7444,course-v1:DelftX+ScratchX+3T2016,2016-09-06 08:00:00,2017-07-01 08:00:00,0,
9290,course-v1:TsinghuaX+00690302_2+2017_T2,2017-04-03 08:00:00,2017-05-31 23:30:00,0,literature
9378,course-v1:ZK+00316+J,2018-01-01 08:00:00,2020-01-01 00:00:00,0,
8697,course-v1:shandongjiaotonguniversity+wlsy01+2016_T2,2017-01-01 08:00:00,2017-08-01 08:00:00,0,
11495,course-v1:CQU+TSJYSSG00031+2017_T1,2017-05-01 08:00:00,2020-05-01 00:00:00,0,
7225,course-v1:TsinghuaX+KB2700194102+2016_T2,2016-02-22 08:00:00,2016-06-23 00:00:00,0,
7256,course-v1:TSINGHUA+70160613X+2016_T2,2030-01-01 08:00:00,2016-01-31 00:00:00,0,
9287,course-v1:TsinghuaX+AP201601X+sp,2017-01-16 08:00:00,2017-02-28 23:30:00,0,
3997,course-v1:bdschool+01030132X+2015_T2,2015-01-15 00:00:00,2016-01-15 00:00:00,0,
5714,course-v1:swust_TsinghuaX+00691153_2015X+2016_T1,2016-05-01 09:00:00,2016-06-22 00:00:00,0,
614,PEC/20220214X/2015_T1,2015-10-26 00:30:00,2015-10-28 00:00:00,0,
9083,course-v1:TsinghuaX+01030132X+sp,2016-09-01 08:00:00,,1,history
7401,course-v1:ycxy_CAU+08110140_1x+2016_T2,2016-09-01 00:00:00,2016-12-01 00:00:00,0,
